year, row, col, elevation, annualDroughtIndex, seasonalDroughtIndex, annualDegreeDaySum, seasonalDegreeDaySum, minimumTemperature, AET, PET, annualPrecipitationSum
119, 2, 2, 890, 0.0850719, 0.0850719, 1370.21, 1262.9, -0.7, 51.5198, 54.7145, 120.18
120, 2, 2, 890, 1.32443e-08, 1.32443e-08, 1461.81, 1389.93, -2.6, 54.9319, 54.9319, 154.21
121, 2, 2, 890, 0.0460626, 0.0460626, 1540.82, 1428.16, -0.6, 54.1259, 56.8664, 135.58
122, 2, 2, 890, 0.0236151, 0.0236151, 1445.47, 1368.3, -2.8, 52.6571, 53.8115, 165.43
123, 2, 2, 890, 0.0117951, 0.0117951, 1463.93, 1299.51, 2, 57.1276, 57.6602, 159.96
124, 2, 2, 890, 0.225541, 0.27065, 1881.11, 1717.75, -2, 47.2695, 59.686, 90.79
125, 2, 2, 890, 0.0163756, 0.0163756, 1386.31, 1313.36, -1.5, 53.4195, 54.1628, 110.46
126, 2, 2, 890, 0.130034, 0.130034, 1511.7, 1452.01, -3.8, 48.6154, 55.348, 99.95
127, 2, 2, 890, 0.159012, 0.185514, 1739.09, 1604.22, -1.7, 44.1, 56.634, 147.08
128, 2, 2, 890, 7.25463e-09, 7.25463e-09, 1497.83, 1391.95, 1.2, 57.8169, 57.8169, 148.84
129, 2, 2, 890, 0.0260566, 0.0260566, 1403.93, 1298.31, -0.1, 53.8418, 55.0307, 110.51
130, 2, 2, 890, 0.238769, 0.238769, 1579.75, 1489.8, -1.5, 45.0405, 55.8188, 80.93
131, 2, 2, 890, 0.0698571, 0.0698571, 1291.52, 1248.56, -3.3, 47.4699, 52.2413, 90.83
132, 2, 2, 890, 0.104353, 0.119261, 1740.18, 1515.31, -0.2, 54.4477, 59.0941, 118.19
133, 2, 2, 890, 1.11293e-08, 1.12525e-08, 1569.65, 1422.35, -5.1, 56.6091, 56.6091, 171.41
134, 2, 2, 890, 0.0822082, 0.0822082, 1326.47, 1262.05, -2.4, 50.7014, 54.1018, 147.41
135, 2, 2, 890, 0.214225, 0.214225, 1729.23, 1658.09, -4.2, 47.8106, 57.8598, 127.13
136, 2, 2, 890, 3.29427e-09, 4.2355e-09, 1363.19, 1162.96, -1.2, 56.5628, 56.5628, 150.44
137, 2, 2, 890, 0.212045, 0.212045, 1540.34, 1479.34, -0.5, 42.3964, 54.5715, 92.14
