decade, abiealba, piceabie, fagusilv, pinusilv, querpetr, elevation, area
0, 0.362995, 7.6123, 5.92357, 10.4042, 3.25082, 940, 1.375
0, 0.100655, 7.69069, 7.4921, 13.5542, 3.68954, 941, 0.875
0, 0.234842, 7.01368, 4.90398, 11.4196, 4.53661, 942, 0.375
1, 0, 13.9469, 16.3082, 17.2813, 9.19351, 811, 0.0625
1, 0, 12.8774, 15.9507, 20.2787, 16.0676, 813, 0.0625
1, 0, 10.9651, 19.834, 23.005, 12.1612, 814, 0.0625
1, 0, 13.7268, 21.019, 17.6995, 6.01071, 815, 0.0625
1, 2.25565, 14.0826, 14.9583, 21.6579, 8.82447, 816, 0.125
1, 0, 32.9871, 0, 0, 19.8637, 817, 0.0625
1, 0.368952, 13.6154, 9.65586, 16.0692, 15.4768, 818, 0.125
1, 0, 15.002, 26.8662, 10.7659, 4.43043, 819, 0.125
1, 0.111432, 15.5562, 16.2703, 21.5324, 7.67518, 820, 0.125
1, 0, 16.0731, 20.3649, 13.9318, 8.15062, 821, 0.1875
1, 0, 20.2374, 6.95659, 19.2686, 7.49083, 822, 0.125
1, 0.560674, 13.0204, 15.7692, 19.3869, 4.84223, 823, 0.25
1, 0, 13.0978, 17.2763, 15.4487, 9.89944, 824, 0.125
1, 0, 13.9001, 20.77, 13.8598, 9.8271, 825, 0.1875
1, 0, 21.348, 21.1587, 5.50955, 5.88684, 826, 0.25
1, 0.623113, 10.1115, 12.5485, 24.7246, 10.8518, 827, 0.1875
1, 1.3681, 13.2024, 17.0712, 16.905, 5.9553, 828, 0.3125
1, 0, 18.368, 7.57453, 18.7333, 15.2384, 829, 0.1875
1, 0.632091, 17.1204, 14.9565, 8.62572, 12.0862, 830, 0.3125
1, 0, 15.1422, 15.509, 13.8971, 8.33418, 831, 0.1875
1, 0.374101, 17.2208, 15.2954, 20.9147, 7.7316, 832, 0.3125
1, 0.82958, 22.9542, 12.647, 14.6374, 6.19989, 833, 0.375
1, 0.17505, 11.5277, 20.0999, 18.6097, 9.3022, 834, 0.25
1, 0.478654, 10.675, 17.9176, 15.4863, 11.0682, 835, 0.4375
1, 0.654167, 13.1754, 15.4087, 19.7783, 5.21793, 836, 0.25
1, 0, 12.981, 15.8667, 19.7824, 9.88815, 837, 0.25
1, 0.42251, 16.0124, 16.0964, 14.9429, 6.51514, 838, 0.4375
1, 0, 10.9115, 26.284, 8.9045, 5.9696, 839, 0.25
1, 0.581313, 17.2807, 14.968, 14.6176, 7.60232, 840, 0.5625
1, 0.305897, 17.6613, 18.4153, 10.2807, 6.6312, 841, 0.25
1, 0.122975, 15.6514, 15.2988, 18.021, 6.20696, 842, 0.375
1, 0.32023, 12.731, 18.4638, 14.2109, 9.99302, 843, 0.4375
1, 0, 17.5107, 16.2298, 12.4557, 7.22005, 844, 0.375
1, 0.0604597, 12.1105, 16.8396, 19.8889, 9.99868, 845, 0.5
